student_id,gender,study_mode,subject,attendance,study_hours,internal_marks,participation,previous_score,assignment_completion,weak_subjects,final_score,performance_level
STU1054,Male,Classroom,Science,100.0,3.3,53.6,10.0,66.0,33.8,4,88.3,High
STU1055,Male,Online,Mathematics,61.5,3.1,50.5,7.3,61.1,30.4,2,71.8,Average
STU1056,Female,Blended,Science,95.7,2.8,50.3,7.8,52.2,35.2,3,56.3,Average
STU1057,Female,Online,Mathematics,79.8,3.4,52.7,5.4,61.3,31.8,1,85.9,High
STU1058,Male,Online,Computer Science,82.9,6.0,53.3,2.5,60.8,43.3,0,78.7,High
STU1059,Male,Classroom,Social Science,79.4,2.5,47.3,5.2,58.3,30.0,2,69.8,Average
STU1060,Male,Blended,Computer Science,83.3,5.3,49.0,4.1,62.9,43.6,3,74.3,Average
STU1061,Female,Classroom,Mathematics,76.2,1.3,47.4,3.3,82.3,20.0,1,65.1,Average
STU1062,Male,Online,Computer Science,95.4,3.3,65.5,10.0,69.6,45.1,1,83.1,High
STU1063,Male,Classroom,Science,72.5,4.0,58.0,7.1,98.0,29.0,1,90.4,High
STU1064,Female,Classroom,Computer Science,91.6,4.7,52.1,7.3,69.2,41.8,2,81.4,High
STU1065,Female,Online,English,70.3,4.9,51.3,5.8,63.2,37.5,3,82.7,High
STU1066,Other,Blended,Science,77.3,5.0,55.8,6.1,67.1,44.8,2,83.2,High
STU1067,Female,Online,Mathematics,65.1,3.3,46.8,8.6,70.3,20.0,2,76.5,High
STU1068,Male,Classroom,Social Science,83.5,3.1,51.4,6.4,72.7,40.9,2,59.8,Average
STU1069,Male,Classroom,Social Science,95.3,5.1,66.4,7.7,94.0,41.0,0,100.0,High
STU1070,Female,Classroom,Computer Science,77.1,3.5,30.2,6.1,56.0,44.2,1,68.4,Average
STU1071,Male,Classroom,Social Science,75.6,1.9,47.7,5.7,78.2,22.1,0,68.8,Average
STU1072,Female,Classroom,Social Science,64.6,2.1,40.8,3.4,69.7,23.4,0,64.4,Average
STU1073,Male,Classroom,Mathematics,75.2,2.4,32.8,2.1,46.6,42.0,3,44.3,Low
STU1074,Male,Blended,Computer Science,58.9,4.5,62.8,5.9,77.0,34.1,1,81.0,High
STU1075,Male,Classroom,Science,67.0,4.0,47.5,6.6,83.5,45.4,1,86.9,High
STU1076,Female,Blended,English,80.7,4.8,39.6,3.7,55.9,40.9,0,59.3,Average
STU1077,Male,Online,Mathematics,93.8,3.2,33.0,6.4,66.9,39.2,4,67.7,Average
STU1078,Male,Blended,Social Science,100.0,4.0,43.0,6.6,44.6,42.1,1,70.9,Average
STU1079,Male,Classroom,Computer Science,71.0,4.7,36.5,1.8,50.6,44.1,4,51.3,Average
STU1080,Male,Classroom,Science,95.2,3.3,50.1,4.5,80.6,30.6,0,79.7,High
STU1081,Female,Classroom,Science,80.9,4.5,59.8,7.4,60.9,32.8,1,88.5,High
STU1082,Male,Blended,English,76.2,2.8,50.8,7.4,52.6,26.3,0,75.2,High
STU1083,Female,Classroom,Computer Science,83.2,3.3,48.1,4.0,70.0,34.0,2,66.1,Average
STU1084,Female,Classroom,Social Science,78.7,3.2,45.3,6.8,60.2,32.0,1,75.0,High
STU1085,Male,Online,Science,79.3,2.0,55.5,8.7,60.9,34.4,1,75.3,High
STU1086,Male,Blended,English,73.1,4.5,57.7,8.2,76.6,50.4,0,88.9,High
STU1087,Other,Blended,English,61.2,3.1,36.0,6.3,51.9,21.8,3,51.2,Average
STU1088,Male,Classroom,Science,59.5,3.8,31.1,5.5,55.2,26.7,3,53.6,Average
STU1089,Female,Online,English,85.8,4.5,49.0,5.1,69.0,29.1,3,78.0,High
STU1090,Male,Classroom,Mathematics,74.7,4.5,63.2,7.5,79.6,55.8,0,90.6,High
STU1091,Female,Classroom,Mathematics,70.8,4.8,74.5,6.9,83.1,42.6,1,84.7,High
STU1092,Male,Online,Science,78.1,3.7,50.1,7.9,58.4,40.1,0,67.2,Average
STU1093,Male,Online,Social Science,87.5,3.2,50.0,6.8,79.2,24.3,1,81.4,High
STU1094,Female,Classroom,Science,80.2,3.7,41.8,8.3,56.8,37.0,1,70.3,Average
STU1095,Female,Classroom,Science,70.1,1.3,56.9,6.7,90.7,26.4,2,68.9,Average
STU1096,Female,Classroom,Computer Science,92.7,1.6,33.0,8.2,52.3,26.9,4,61.7,Average
STU1097,Male,Blended,Social Science,97.0,1.8,61.6,8.4,84.3,39.3,3,67.6,Average
STU1098,Male,Blended,English,83.9,2.3,48.4,4.7,58.5,47.5,1,63.7,Average
STU1099,Female,Classroom,Mathematics,89.7,4.4,59.9,2.5,93.2,31.8,2,79.1,High
STU1100,Female,Classroom,Computer Science,92.9,2.4,56.0,9.9,74.7,25.7,2,79.7,High
STU1101,Female,Blended,Science,91.6,3.2,51.5,7.1,53.8,29.2,2,76.9,High
STU1102,Female,Blended,Computer Science,85.4,5.7,49.3,2.7,60.2,58.3,0,73.8,Average
STU1103,Male,Classroom,Science,85.2,3.3,46.4,4.9,77.2,42.5,1,77.0,High
STU1104,Male,Blended,Mathematics,84.2,4.9,74.4,8.2,80.7,42.7,3,97.1,High
STU1105,Female,Online,Science,64.8,2.4,42.6,5.9,66.1,26.9,2,58.9,Average
STU1106,Male,Classroom,Computer Science,86.4,3.5,55.2,5.4,67.6,29.2,2,70.8,Average
STU1107,Female,Blended,Science,61.7,2.4,37.0,9.6,76.9,34.9,1,73.2,Average
STU1108,Female,Blended,Mathematics,68.5,3.3,54.7,4.2,68.7,27.8,5,61.2,Average
STU1109,Male,Blended,English,93.6,5.1,57.3,4.7,50.2,42.4,3,77.8,High
STU1110,Female,Online,Computer Science,88.1,1.2,43.6,7.0,56.4,30.3,2,60.9,Average
STU1111,Female,Blended,Mathematics,95.8,4.5,60.8,7.4,70.1,41.7,1,81.1,High
STU1112,Male,Classroom,Computer Science,74.7,4.2,62.4,7.6,82.8,36.2,1,91.9,High
STU1113,Male,Classroom,Computer Science,64.2,2.9,53.2,8.5,88.0,30.4,1,85.4,High
STU1114,Female,Blended,Science,75.1,1.6,53.8,6.9,77.1,31.5,1,69.2,Average
STU1115,Male,Classroom,Social Science,79.2,3.9,48.6,,70.7,50.8,2,69.0,Average
STU1116,Female,Classroom,Social Science,78.9,3.0,47.6,5.9,76.7,36.9,3,67.6,Average
STU1117,Male,Classroom,Science,91.6,4.1,58.4,6.6,58.3,47.0,0,83.6,High
STU1118,Female,Blended,Mathematics,73.7,3.8,57.0,6.7,65.0,34.2,0,71.5,Average
STU1119,Male,Online,Science,82.2,,48.7,7.0,56.3,43.6,1,84.2,High
STU1120,Female,Blended,Mathematics,66.1,3.4,40.4,8.2,50.8,38.4,2,57.5,Average
STU1121,Male,Blended,English,83.4,2.3,47.0,7.7,71.3,31.6,4,67.8,Average
STU1122,Male,Classroom,Social Science,78.0,4.1,57.6,6.6,69.4,26.3,3,75.0,Average
STU1123,Female,Classroom,Social Science,69.0,4.1,44.0,4.7,75.9,32.8,2,61.0,Average
STU1124,Male,Online,Science,75.2,5.8,60.3,6.6,74.1,45.4,1,92.8,High
STU1125,Female,Classroom,English,75.8,5.1,59.7,6.4,70.2,38.0,1,84.2,High
STU1126,Male,Blended,Mathematics,74.8,4.3,54.3,6.9,74.2,50.4,0,88.1,High
STU1127,Female,Blended,English,99.3,6.0,70.4,10.0,66.4,56.7,2,98.3,High
STU1128,Female,Classroom,Mathematics,76.8,2.0,44.9,5.3,72.4,37.6,2,57.6,Average
STU1129,Male,Blended,Social Science,75.1,2.8,45.1,7.4,57.6,33.5,4,56.4,Average
STU1130,Female,Classroom,Social Science,52.8,2.4,43.2,8.9,71.8,26.6,1,64.1,Average
STU1131,Male,Classroom,Mathematics,67.3,,58.8,6.7,75.7,24.0,1,74.6,Average
STU1132,Male,Classroom,Computer Science,74.8,1.7,42.8,10.0,58.3,27.2,3,62.3,Average
STU1133,Female,Classroom,English,69.8,4.8,53.5,5.7,67.7,39.3,2,75.3,High
STU1134,Female,Classroom,Computer Science,94.6,3.5,49.9,7.2,58.9,27.0,0,74.1,Average
STU1135,Male,Online,English,76.0,1.6,33.4,4.7,60.2,20.0,3,46.8,Low
STU1136,Male,Classroom,Mathematics,93.5,2.3,38.9,5.7,52.4,28.5,2,74.1,Average
STU1137,Female,Blended,Computer Science,78.7,4.3,68.3,7.0,83.5,42.4,0,86.0,High
STU1138,Female,Blended,Mathematics,78.4,5.1,62.8,8.4,80.9,47.3,0,92.0,High
STU1139,Male,Classroom,English,76.9,6.8,53.8,7.2,74.0,46.8,0,100.0,High
STU1140,Male,Classroom,Mathematics,78.0,8.2,75.8,9.3,92.6,63.3,1,100.0,High
STU1141,Male,Online,Computer Science,98.6,4.4,52.6,6.3,64.5,41.5,3,69.2,Average
STU1142,Female,Blended,Social Science,50.2,2.3,78.2,,98.0,20.0,1,81.1,High
STU1143,Male,Online,Mathematics,54.0,0.6,47.2,10.0,64.0,20.0,5,44.4,Low
STU1144,Male,Classroom,Science,71.5,4.2,50.8,7.4,70.3,46.2,1,85.5,High
STU1145,Female,Blended,Computer Science,78.2,2.6,54.0,4.9,61.8,20.0,3,58.7,Average
STU1146,Female,Blended,Mathematics,86.3,3.2,37.1,5.0,71.8,34.8,1,66.3,Average
STU1147,Female,Online,English,83.7,2.9,50.9,4.4,77.9,44.4,1,81.7,High
STU1148,Male,Classroom,Computer Science,73.4,3.6,66.4,8.6,65.5,29.3,1,83.5,High
STU1149,Female,Online,Science,90.2,5.4,62.0,5.7,90.1,46.1,0,100.0,High
STU1150,Male,Classroom,Social Science,90.4,4.0,42.3,6.8,70.1,29.4,3,75.6,High
STU1151,Male,Blended,English,80.2,3.6,48.9,6.4,70.5,48.4,1,73.6,Average
STU1152,Female,Blended,Computer Science,89.6,2.2,57.3,8.1,55.2,30.7,1,73.9,Average
STU1153,Male,Blended,Mathematics,81.3,1.3,47.5,4.6,72.4,23.8,1,66.9,Average
STU1154,Male,Classroom,Mathematics,71.3,3.1,38.5,4.1,65.3,41.1,2,62.2,Average
STU1155,Female,Blended,Mathematics,86.4,3.7,44.9,7.0,59.1,42.9,4,78.6,High
STU1156,Male,Classroom,Social Science,79.3,6.5,51.4,7.8,56.9,43.4,4,88.0,High
STU1157,Male,Classroom,Social Science,78.0,4.0,65.8,7.2,98.0,32.5,0,93.2,High
STU1158,Female,Blended,Computer Science,95.7,5.3,61.8,4.7,63.6,49.9,1,87.1,High
STU1159,Male,Blended,Mathematics,48.6,3.1,48.7,8.0,48.1,23.0,1,63.5,Average
STU1160,Male,Classroom,English,61.0,2.0,42.5,4.9,57.9,20.0,3,42.9,Low
STU1161,Female,Blended,Computer Science,63.8,2.4,34.7,5.4,66.3,25.5,2,56.1,Average
STU1162,Other,Classroom,Computer Science,73.6,2.7,38.1,4.4,74.1,20.0,1,64.3,Average
STU1163,Male,Blended,Mathematics,74.9,7.0,68.1,9.4,74.2,66.1,1,100.0,High
STU1164,Male,Blended,Social Science,59.9,2.6,41.8,7.9,75.8,29.0,1,70.6,Average
STU1165,Female,Blended,Mathematics,66.2,5.1,49.8,7.8,58.6,33.9,3,75.2,High
STU1166,Female,Blended,Mathematics,67.7,2.4,54.5,9.2,71.4,23.4,2,75.4,High
STU1167,Female,Blended,Social Science,100.0,5.2,49.9,10.0,55.6,33.9,2,90.5,High
STU1168,Male,Classroom,English,99.6,4.4,39.2,2.7,58.9,32.4,0,72.9,Average
STU1169,Male,Blended,Science,73.1,3.6,42.5,4.9,55.1,41.5,2,55.5,Average
STU1170,Male,Classroom,English,73.6,3.7,46.3,5.1,51.6,52.4,5,70.3,Average
STU1171,Female,Classroom,Social Science,64.2,2.8,56.6,4.6,80.8,33.8,3,64.8,Average
STU1172,Male,Blended,Mathematics,55.1,4.5,53.5,4.1,76.0,33.6,0,75.6,High
STU1173,Male,Classroom,Computer Science,76.6,3.1,53.2,5.8,79.7,28.8,1,72.1,Average
STU1174,Male,Classroom,Science,66.0,2.0,36.4,3.8,67.5,20.0,1,51.8,Average
STU1175,Male,Online,Mathematics,77.0,1.9,43.7,7.2,77.1,43.4,4,71.6,Average
STU1176,Male,Classroom,English,58.8,4.1,37.8,6.6,44.1,32.7,2,70.2,Average
STU1177,Female,Classroom,English,68.9,6.2,63.4,7.6,78.2,63.9,0,100.0,High
STU1178,Male,Classroom,Mathematics,79.8,4.0,56.5,7.6,69.3,49.5,1,81.7,High
STU1179,Other,Classroom,Science,82.4,3.6,41.2,7.8,75.2,22.9,0,82.3,High
STU1180,Male,Blended,Computer Science,83.0,4.2,47.5,5.7,71.9,33.6,0,80.0,High
STU1181,Female,Blended,English,62.2,5.8,62.5,10.0,54.2,39.6,1,87.5,High
STU1182,Other,Blended,Computer Science,88.3,4.1,47.4,7.0,47.5,39.4,3,71.4,Average
STU1183,Female,Classroom,Social Science,68.4,3.2,29.1,2.4,57.7,28.9,0,54.6,Average
STU1184,Female,Blended,Science,85.6,5.5,71.2,4.3,74.3,68.8,0,95.0,High
STU1185,Female,Classroom,English,77.9,4.4,49.5,2.7,76.0,29.0,2,72.4,Average
STU1186,Female,Blended,English,61.5,6.1,50.5,6.5,49.2,46.7,0,86.3,High
STU1187,Female,Blended,English,74.2,4.1,49.0,6.2,54.2,41.8,2,66.5,Average
STU1188,Male,Classroom,Mathematics,82.4,2.0,40.0,5.5,57.6,27.4,2,61.2,Average
STU1189,Male,Blended,Science,85.4,1.7,45.8,10.0,62.4,30.0,4,57.6,Average
STU1190,Male,Blended,Mathematics,76.3,6.3,66.6,7.7,49.3,40.6,1,85.7,High
STU1191,Male,Classroom,Science,96.4,6.4,61.8,8.1,48.5,54.2,1,90.4,High
STU1192,Male,Blended,Social Science,90.1,3.5,50.7,4.5,56.3,40.2,3,59.0,Average
STU1193,Male,Blended,English,74.9,3.2,50.4,4.3,68.1,34.4,0,76.6,High
STU1194,Female,Classroom,English,87.0,6.0,44.5,6.6,51.7,53.5,1,78.2,High
STU1195,Female,Classroom,English,100.0,2.1,58.9,6.9,65.5,43.4,1,69.5,Average
STU1196,Male,Blended,Computer Science,100.0,2.5,43.4,2.4,80.8,39.0,1,74.9,Average
STU1197,Male,Online,English,63.3,4.8,46.7,6.1,50.1,38.8,3,64.0,Average
STU1198,Male,Blended,English,66.9,3.2,35.9,6.5,64.3,22.0,2,61.8,Average
STU1199,Female,Blended,Computer Science,95.8,3.8,42.7,6.0,80.3,34.4,0,75.3,High
STU1200,Male,Blended,Mathematics,65.3,3.6,46.5,4.7,61.6,30.1,2,68.7,Average
STU1201,Male,Classroom,English,62.1,4.3,40.1,5.3,59.5,37.4,3,69.5,Average
STU1202,Male,Classroom,English,72.2,5.9,45.7,6.1,82.1,41.8,0,94.7,High
STU1203,Male,Classroom,Computer Science,83.0,3.9,54.5,6.7,63.0,30.5,2,77.6,High
STU1204,Male,Online,Social Science,76.8,4.8,74.8,7.8,81.4,32.1,1,92.4,High
STU1205,Male,Blended,Computer Science,70.2,0.7,58.5,8.9,72.6,20.0,2,59.6,Average
STU1206,Male,Online,English,69.9,3.7,45.5,5.9,62.5,32.3,0,67.1,Average
STU1207,Male,Classroom,Mathematics,69.5,2.5,47.9,5.5,73.2,20.0,3,68.8,Average
STU1208,Male,Classroom,English,67.4,2.0,54.7,7.5,71.2,20.0,1,71.5,Average
STU1209,Female,Blended,Social Science,100.0,2.5,65.2,7.8,80.3,31.2,3,73.0,Average
STU1210,Male,Classroom,Social Science,81.6,3.3,43.9,5.5,59.9,23.3,1,67.2,Average
STU1211,Male,Classroom,Social Science,88.6,5.2,58.3,8.2,67.5,49.0,0,90.9,High
STU1212,Male,Blended,Mathematics,72.1,1.8,50.9,8.7,66.2,32.3,4,54.6,Average
STU1213,Female,Blended,Computer Science,75.8,3.8,62.1,9.3,76.2,33.1,2,84.4,High
STU1214,Male,Blended,Social Science,69.4,3.1,47.9,10.0,53.7,29.4,2,67.1,Average
STU1215,Male,Classroom,Computer Science,46.2,3.3,46.9,4.6,80.2,31.5,2,59.0,Average
STU1216,Female,Classroom,Computer Science,61.5,5.3,64.1,6.5,73.1,35.1,1,76.4,High
STU1217,Female,Classroom,English,56.3,4.6,52.6,6.5,49.9,30.2,2,59.6,Average
STU1218,Female,Classroom,Computer Science,51.0,5.8,60.6,6.3,82.7,50.9,0,89.1,High
STU1219,Other,Classroom,Science,63.7,3.6,68.7,5.1,96.0,38.9,2,79.5,High
STU1220,Male,Classroom,Mathematics,93.9,2.8,47.5,3.2,80.0,37.1,1,64.7,Average
STU1221,Male,Online,Social Science,77.5,3.5,68.3,6.7,85.6,42.0,3,83.6,High
STU1222,Female,Classroom,Social Science,93.5,4.2,55.2,4.8,68.1,24.2,1,76.6,High
STU1223,Male,Classroom,Social Science,82.9,4.1,67.7,6.7,45.4,49.4,2,78.6,High
STU1224,Male,Classroom,Science,87.4,2.2,29.1,4.8,43.0,32.1,4,45.8,Low
STU1225,Other,Blended,Mathematics,67.2,3.9,42.6,4.1,70.3,41.9,1,65.0,Average
STU1226,Female,Classroom,Science,,4.1,53.4,7.0,59.3,42.5,1,79.0,High
STU1227,Female,Classroom,Social Science,86.7,7.6,59.4,6.8,55.1,57.3,1,89.7,High
STU1228,Male,Classroom,Computer Science,71.1,6.6,71.6,7.8,66.2,47.6,2,97.7,High
STU1229,Female,Classroom,Social Science,84.7,2.5,52.3,10.0,75.0,35.8,1,73.5,Average
STU1230,Male,Blended,Science,84.8,3.4,51.4,7.1,48.1,33.2,2,73.5,Average
STU1231,Male,Classroom,English,71.4,1.6,53.0,7.6,61.2,31.6,2,59.6,Average
STU1232,Female,Classroom,Computer Science,64.5,2.9,55.6,4.1,86.6,20.0,2,73.9,Average
STU1233,Female,Blended,Science,63.8,4.3,34.4,3.7,53.0,30.4,2,53.2,Average
STU1234,Male,Classroom,Social Science,79.0,5.6,74.1,10.0,78.3,63.6,3,94.1,High
STU1235,Male,Blended,English,81.9,2.7,52.3,4.5,60.7,25.5,2,64.7,Average
STU1236,Male,Classroom,Mathematics,68.5,2.8,50.9,4.2,74.1,26.6,1,73.1,Average
STU1237,Female,Blended,Mathematics,78.3,0.6,50.2,6.4,81.3,20.0,2,69.4,Average
STU1238,Male,Classroom,Social Science,84.8,3.6,55.9,6.3,76.6,38.9,0,81.7,High
STU1239,Female,Classroom,Computer Science,85.4,2.2,48.9,4.5,78.8,22.8,0,79.9,High
STU1240,Male,Classroom,Computer Science,96.6,3.0,49.6,5.8,52.0,33.9,2,64.7,Average
STU1241,Male,Online,Computer Science,93.3,2.5,59.2,9.2,81.5,40.6,3,85.0,High
STU1242,Female,Classroom,English,66.0,3.7,36.7,4.7,55.9,26.9,2,54.5,Average
STU1243,Male,Online,Computer Science,98.2,1.2,36.8,3.4,70.4,31.5,2,57.5,Average
STU1244,Male,Online,Social Science,71.6,1.6,44.3,8.6,70.4,31.8,3,47.8,Low
STU1245,Female,Classroom,Mathematics,90.5,7.0,64.8,7.6,73.3,63.5,2,94.4,High
STU1246,Male,Classroom,Computer Science,78.8,1.9,46.1,5.1,71.4,27.2,3,61.2,Average
STU1247,Male,Classroom,Science,73.1,2.2,39.2,3.0,56.0,51.4,1,48.0,Low
STU1248,Male,Online,Science,56.3,6.6,49.3,4.9,49.5,53.8,1,82.0,High
STU1249,Female,Blended,Science,75.9,8.2,59.7,6.4,78.3,60.2,2,100.0,High
STU1250,Male,Blended,Social Science,59.3,2.0,59.8,9.1,69.4,20.0,2,64.4,Average
STU1251,Female,Classroom,Mathematics,89.6,3.2,51.0,4.2,81.9,33.7,1,68.7,Average
STU1252,Male,Blended,English,96.2,4.3,50.7,6.3,66.4,53.4,2,77.2,High
STU1253,Male,Classroom,Computer Science,68.4,6.4,54.7,8.0,48.7,62.0,3,77.9,High
STU1254,Female,Classroom,Mathematics,81.6,2.3,31.8,1.3,79.6,38.7,1,57.9,Average
STU1255,Female,Classroom,Computer Science,69.3,3.4,45.3,8.8,62.2,40.3,2,72.6,Average
STU1256,Male,Classroom,Social Science,70.5,5.0,57.1,3.9,71.4,29.4,2,73.5,Average
STU1257,Female,Online,Mathematics,87.3,4.5,39.5,7.2,58.6,45.5,0,89.7,High
STU1258,Male,Blended,Mathematics,77.5,3.2,65.7,7.0,88.4,23.7,1,77.6,High
STU1259,Male,Classroom,Social Science,98.9,3.6,63.2,8.9,55.6,28.3,1,89.5,High
STU1260,Male,Classroom,Mathematics,72.2,1.7,43.4,7.7,62.6,27.5,1,56.4,Average
STU1261,Female,Blended,Mathematics,90.0,3.4,46.3,1.3,68.4,38.2,1,66.2,Average
STU1262,Female,Blended,Social Science,79.2,3.4,50.5,4.8,52.8,40.9,3,69.7,Average
STU1263,Female,Classroom,Social Science,87.5,4.1,51.5,6.8,71.3,43.9,1,88.3,High
STU1264,Male,Classroom,Computer Science,72.6,3.0,61.2,6.1,88.0,35.2,0,77.7,High
STU1265,Other,Blended,English,77.4,4.5,47.1,7.6,60.6,32.4,2,78.9,High
STU1266,Male,Online,Social Science,76.6,5.3,55.2,8.2,72.1,43.7,0,94.0,High
STU1267,Female,Blended,Computer Science,68.0,4.0,34.1,7.8,31.3,24.3,3,54.7,Average
STU1268,Female,Classroom,Computer Science,85.9,4.3,54.5,6.0,66.5,24.1,3,77.5,High
STU1269,Female,Blended,Social Science,85.8,3.9,52.6,2.4,62.9,42.0,2,78.7,High
STU1270,Other,Classroom,Computer Science,85.1,3.8,45.3,5.5,56.4,31.0,2,70.7,Average
STU1271,Female,Online,English,96.4,2.7,48.1,7.4,81.1,41.6,2,79.8,High
STU1272,Female,Classroom,Science,95.4,4.3,41.4,4.1,62.8,49.5,0,80.5,High
STU1273,Male,Classroom,English,73.5,3.7,54.1,7.9,64.7,30.5,2,65.2,Average
STU1274,Male,Classroom,English,82.5,6.9,72.6,8.5,62.1,58.5,5,95.6,High
STU1275,Female,Classroom,Science,70.5,6.2,49.7,6.8,42.1,41.6,2,71.6,Average
STU1276,Male,Classroom,English,78.3,4.4,36.1,1.0,52.3,21.7,2,53.8,Average
STU1277,Female,Blended,Computer Science,70.8,2.7,53.1,3.7,79.5,28.9,2,77.7,High
STU1278,Female,Blended,Science,97.4,2.1,43.6,10.0,39.6,29.4,5,56.2,Average
STU1279,Female,Blended,Mathematics,82.4,5.6,47.4,5.3,57.0,41.9,3,71.2,Average
STU1280,Female,Classroom,Science,75.4,4.2,36.4,2.1,61.8,51.4,0,75.0,Average
STU1281,Other,Classroom,Science,92.3,4.5,76.1,9.2,89.7,31.6,1,92.6,High
